"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220501 ~ 20230430"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202301","6","10,000","1","1980","대명서로 17","","직거래","-"
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202302","17","10,400","3","1980","대명서로 17","","중개거래","대구 달서구"
"대구광역시 남구 대명동","1551-34","1551","0034","삼성공원","44.52","202205","12","9,500","1","1983","앞산순환로 337","","직거래","-"
"대구광역시 남구 대명동","1551-34","1551","0034","삼성공원","44.52","202207","21","8,300","3","1983","앞산순환로 337","","직거래","-"
"대구광역시 남구 대명동","1551-34","1551","0034","삼성공원","44.52","202302","27","9,500","1","1983","앞산순환로 337","20230405","중개거래","대구 남구"
"대구광역시 남구 대명동","1551-34","1551","0034","삼성공원","44.52","202303","29","9,500","1","1983","앞산순환로 337","","중개거래","대구 남구"
"대구광역시 남구 대명동","1551-34","1551","0034","삼성공원","44.52","202304","17","10,000","3","1983","앞산순환로 337","","중개거래","대구 남구"
"대구광역시 남구 대명동","1598-8","1598","0008","삼정비취(1598-8)","84.825","202301","10","14,600","4","1989","대명복개로3길 32","","중개거래","대구 달서구"
"대구광역시 남구 대명동","1598-8","1598","0008","삼정비취(1598-8)","84.825","202304","15","16,000","1","1989","대명복개로3길 32","","중개거래","대구 달서구"
"대구광역시 남구 대명동","1701-2","1701","0002","새한(1701-2)","116.69","202209","1","31,000","3","1979","대명로49길 38","","직거래","-"
"대구광역시 남구 대명동","1714-7","1714","0007","서동해피플러스","84.605","202207","2","21,000","9","2007","현충로 127","","중개거래","대구 남구"
"대구광역시 남구 대명동","1714-7","1714","0007","서동해피플러스","84.5475","202210","25","20,000","4","2007","현충로 127","","중개거래","대구 달서구"
"대구광역시 남구 대명동","329-13","0329","0013","세광","84.9","202301","16","20,000","7","1997","현충로26길 67","","직거래","-"
"대구광역시 남구 대명동","329-13","0329","0013","세광","59.79","202304","21","16,000","1","1997","현충로26길 67","","중개거래","대구 남구"
"대구광역시 남구 대명동","1631-1","1631","0001","세신(1631-1)","53.9","202208","26","13,500","2","1982","대명복개로 192","","직거래","-"
"대구광역시 남구 대명동","461-1","0461","0001","세신(461-1)","66.45","202209","22","13,000","2","1980","자유1길 86","","직거래","-"
"대구광역시 남구 대명동","1223-5","1223","0005","세종아파트","55.47","202304","6","18,000","4","1980","두류공원로 72","20230412","중개거래","대구 달서구"
"대구광역시 남구 대명동","1223-5","1223","0005","세종아파트","55.47","202304","13","20,000","4","1980","두류공원로 72","","중개거래","대구 달서구"
"대구광역시 남구 대명동","1118-1","1118","0001","앞산삼정그린코아트라이시티","84.0744","202303","14","36,000","13","2021","대명역2길 70","","중개거래","대구 남구"
"대구광역시 남구 대명동","1118-1","1118","0001","앞산삼정그린코아트라이시티","84.0744","202303","18","30,000","9","2021","대명역2길 70","","중개거래","대구 남구"
"대구광역시 남구 대명동","1676-5","1676","0005","앞산클래식명가","100.47","202208","10","34,000","12","2006","현충로 107","","중개거래","대구 남구"
"대구광역시 남구 대명동","3042-32","3042","0032","이-파크","80.2675","202212","10","21,400","15","2005","성당로 142","","중개거래","대구 남구"
"대구광역시 남구 대명동","3042-32","3042","0032","이-파크","80.2675","202304","19","27,700","13","2005","성당로 142","","직거래","-"
"대구광역시 남구 대명동","629-1","0629","0001","정우맨션","109.02","202206","13","26,000","10","1979","현충로25길 71","","직거래","-"
"대구광역시 남구 대명동","629-1","0629","0001","정우맨션","81.818","202206","28","21,000","1","1979","현충로25길 71","","중개거래","대구 남구"
"대구광역시 남구 대명동","629-1","0629","0001","정우맨션","109.02","202209","13","24,000","6","1979","현충로25길 71","","직거래","-"
"대구광역시 남구 대명동","629-1","0629","0001","정우맨션","109.02","202210","20","26,100","6","1979","현충로25길 71","","중개거래","대구 남구"
"대구광역시 남구 대명동","629-1","0629","0001","정우맨션","81.818","202211","12","23,800","2","1979","현충로25길 71","","중개거래","대구 남구"
"대구광역시 남구 대명동","629-1","0629","0001","정우맨션","81.818","202301","14","19,500","4","1979","현충로25길 71","","중개거래","대구 남구, 대구 중구"
"대구광역시 남구 대명동","63-1","0063","0001","천호","99.83","202209","7","27,000","2","2002","명덕시장길 96","","직거래","-"
"대구광역시 남구 대명동","1719","1719","0000","청구로얄하이츠","232.3675","202210","11","40,000","3","1982","현충로29길 29","","직거래","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","52.24","202206","11","20,000","2","1980","대명복개로 230","","중개거래","대구 남구"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","52.24","202207","12","18,000","2","1980","대명복개로 230","","중개거래","대구 남구"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","56.88","202207","20","17,700","3","1980","대명복개로 230","","직거래","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","58.54","202207","28","20,000","11","1980","대명복개로 230","","직거래","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","52.24","202212","6","19,000","5","1980","대명복개로 230","","직거래","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","52.24","202302","3","15,500","10","1980","대명복개로 230","","중개거래","대구 남구"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","52.24","202304","3","15,500","8","1980","대명복개로 230","","중개거래","대구 남구"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","56.88","202304","16","16,300","5","1980","대명복개로 230","","중개거래","대구 남구"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","56.88","202304","27","14,000","3","1980","대명복개로 230","","직거래","-"
"대구광역시 남구 대명동","910-1","0910","0001","현우팰리스","79.7808","202208","2","31,500","6","2016","대명로 140","","중개거래","대구 남구"
"대구광역시 남구 대명동","3055-81","3055","0081","흥아맨션","73.223","202303","17","8,000","1","1980","성당로 64","","직거래","-"
"대구광역시 남구 대명동","3055-81","3055","0081","흥아맨션","73.223","202304","14","17,000","2","1980","성당로 64","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","862","0862","0000","강변코오롱하늘채","84.993","202206","14","44,500","10","2008","봉덕로 134","","중개거래","대구 남구, 대구 수성구"
"대구광역시 남구 봉덕동","862","0862","0000","강변코오롱하늘채","84.993","202207","8","37,000","3","2008","봉덕로 134","","직거래","-"
"대구광역시 남구 봉덕동","862","0862","0000","강변코오롱하늘채","59.8284","202208","25","33,000","19","2008","봉덕로 134","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","862","0862","0000","강변코오롱하늘채","59.8284","202211","25","28,400","1","2008","봉덕로 134","20221125","중개거래","대구 수성구"
"대구광역시 남구 봉덕동","862","0862","0000","강변코오롱하늘채","84.993","202301","27","34,000","7","2008","봉덕로 134","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","862","0862","0000","강변코오롱하늘채","84.993","202301","28","33,000","3","2008","봉덕로 134","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","862","0862","0000","강변코오롱하늘채","84.9627","202302","9","36,500","13","2008","봉덕로 134","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","862","0862","0000","강변코오롱하늘채","59.8284","202303","30","28,450","1","2008","봉덕로 134","","중개거래","대구 수성구"
"대구광역시 남구 봉덕동","862","0862","0000","강변코오롱하늘채","84.993","202304","12","34,500","13","2008","봉덕로 134","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","862","0862","0000","강변코오롱하늘채","84.993","202304","24","33,000","7","2008","봉덕로 134","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","1329-2","1329","0002","대덕1차","114.77","202207","4","43,000","6","1990","앞산순환로 657","","직거래","-"
"대구광역시 남구 봉덕동","1329-2","1329","0002","대덕1차","84.87","202302","27","30,500","9","1990","앞산순환로 657","","직거래","-"
"대구광역시 남구 봉덕동","1329-2","1329","0002","대덕1차","84.87","202303","10","22,000","2","1990","앞산순환로 657","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","1329-1","1329","0001","대덕2차","134.705","202205","9","40,000","4","1991","앞산순환로 655","","직거래","-"
"대구광역시 남구 봉덕동","1329-1","1329","0001","대덕2차","134.705","202207","20","43,000","14","1991","앞산순환로 655","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","1329-1","1329","0001","대덕2차","134.705","202211","8","31,000","13","1991","앞산순환로 655","","직거래","-"
"대구광역시 남구 봉덕동","1329-1","1329","0001","대덕2차","134.705","202302","5","30,000","14","1991","앞산순환로 655","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","1329-1","1329","0001","대덕2차","134.705","202302","16","31,000","5","1991","앞산순환로 655","","직거래","-"
"대구광역시 남구 봉덕동","1631","1631","0000","래미안웰리스트","137.1466","202206","8","89,600","14","2010","효성중앙길 81","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","1631","1631","0000","래미안웰리스트","165.8368","202302","9","95,000","1","2010","효성중앙길 82","","중개거래","대구 남구"
