정류장명,위도,경도
원당(계남방향),35.8013,128.8262
곡란구판장 건너,35.7706,128.8778
곡란구판장,35.7709,128.8777
감못,35.83382,128.77146
대종2리,35.7535,128.9079
압량한라빌라트 건너,35.8404,128.76266
옥천교(원당방향),35.79894,128.83643
옥천교(남산방향),35.7988,128.8361
신대삼거리(백안방향),35.8349,128.7735
계남입구(자인방향),35.815,128.809
계남입구(경산방향),35.8151,128.809
신대삼거리(영대방향),35.83525,128.77361
원당입구(원당방향),35.8026,128.8332
원당입구(남산방향),35.8029,128.8329
당음리(남촌방향),35.83,128.7868
신월리1(남촌방향),35.8286,128.7895
농업기술센터 건너,35.8155,128.8138
농업기술센터,35.8156,128.8139
신대2리구판장 건너,35.83743,128.77559
옥연마을입구 건너,35.8073,128.8298
옥연마을입구,35.8071,128.83
신월리2(남촌방향),35.8288,128.7926
곡신리(용성방향),35.78071,128.87529
동부리(원당방향),35.8087,128.8281
곡신리(곡란방향),35.781,128.8752
일광1리(용성방향),35.7982,128.8471
일광1리(자인방향),35.79825,128.84715
일광2리(용성방향),35.8013,128.842
일광2리(자인방향),35.8013,128.8422
대종1리(대종리방향),35.7636,128.9049
대종1리(용성방향),35.7636,128.9051
육동교회,35.7638,128.9049
자인삼거리(자인방향),35.8157,128.8186
도산(대종2리방향),35.7631,128.9064
도산(용성방향),35.7632,128.9064
옥천리(용성방향),35.8068,128.8368
옥천리(자인방향),35.8068,128.8369
북사리2(남촌방향),35.8237,128.8082
수자원공사 건너(개고개),35.8085,128.8348
수자원공사(개고개),35.8086,128.8348
자인시장입구(자인방향),35.817,128.8205
북사리1(남촌방향),35.8258,128.8059
(주)한성 건너,35.8398,128.7813
자인시장입구(경산방향),35.8174,128.8207
백안리마을회관(남촌방향),35.8308,128.7976
울옥리(용성방향),35.8129,128.8301
울옥리(자인방향),35.8129,128.8301
부제2리(용성방향),35.7792,128.8879
가척리(대종리방향),35.7694,128.904
가척리(용성방향),35.76962,128.90392
부제2리(대종리방향),35.7794,128.8878
용천1리(부일방향),35.7644,128.9128
용천1리(용성방향),35.7644,128.9128
자인정류장,35.8164,128.8262
고은1리(용성방향),35.7993,128.8568
고은1리(자인방향),35.7993,128.8569
가일보건진료소 건너,35.84146,128.78404
부제리회관 건너,35.7826,128.8852
부제리회관,35.7827,128.8852
고은2리(용성방향),35.7977,128.8606
고은2리(자인방향),35.7977,128.8607
오산입구(용성방향),35.7946,128.8659
오산입구(자인방향),35.7947,128.8659
경북자동차고,35.82166,128.8202
경북자동차고 건너,35.82227,128.81975
자인면사무소,35.8205,128.8232
가일리(영대방향),35.8431,128.7844
자인면사무소 건너,35.8204,128.8242
남신리(남촌방향),35.834,128.8011
자인초교,35.8205,128.8249
자인부대,35.8255,128.8167
자인부대 건너,35.8255,128.8168
금구동(자인방향),35.8535,128.7677
용성중,35.7929,128.8737
내리(가일방향),35.84518,128.78396
용성초교,35.7934,128.8733
남촌네거리(가야방향),35.8278,128.8159
교촌리(마곡방향),35.8218,128.8266
부제1리(용성방향),35.79224,128.87709
남촌리입구,35.8291,128.8147
미산리(용성방향),35.796,128.8713
용성면사무소(부제방향),35.7929,128.8765
미산리(자인방향),35.796,128.8714
용성면사무소(용성방향),35.7929,128.8765
부제리(대종리방향),35.7894,128.8825
당리리(송림방향),35.793,128.8766
부제리(용성방향),35.7894,128.8826
남촌리입구 건너,35.8293,128.8149
당리리(용성방향),35.7931,128.8766
교촌리(자인방향),35.8223,128.8274
안정사입구 건너,35.8225,128.82798
읍천리(자인방향),35.8244,128.8285
읍천리(마곡방향),35.8245,128.8286
야창지 건너,35.835,128.8115
용암리회관,35.8557,128.7756
야창지 앞,35.8351,128.8129
단북네거리(대경대방향),35.835,128.8139
신촌입구,35.8516,128.7852
덕천1리(송림방향),35.7955,128.8818
단북네거리(경산방향),35.8351,128.8144
덕천1리(용성방향),35.7956,128.882
계림리마을회관 건너,35.838,128.8101
계림리마을회관,35.838,128.8101
신촌리마을회관 건너,35.85029,128.78919
단북리,35.8352,128.8174
단북리 건너,35.8352,128.8175
대청환경 건너,35.85,128.7923
일언리(가야방향),35.842,128.8076
용전리마을회관,35.7732,128.9235
신촌리3(금구방향),35.8499,128.7939
대경대,35.8351,128.8205
대경대(경산방향),35.8353,128.8204
신관리회관,35.8227,128.8423
신관리회관 건너,35.8227,128.8422
용전리(용성방향),35.7742,128.9251
AMS 건너,35.8305,128.833
덕천2리(송림방향),35.7978,128.8887
덕천2리(용성방향),35.7978,128.8886
가야리마을회관,35.8498,128.8014
가야리1(가야방향),35.84926,128.80362
가야삼거리(경산방향),35.84966,128.80329
가야리1(골프장방향),35.84974,128.80376
가야리1(자인방향1),35.8499,128.80372
가야리1(자인방향2),35.85035,128.80398
송림길(송림방향),35.7988,128.8931
송림길(용성방향),35.7988,128.893
마곡교장 건너,35.8331,128.8358
마곡교장,35.8332,128.8358
현흥리(경산방향),35.86809,128.77613
현흥리(진량방향),35.8681,128.7764
당곡리(광석방향),35.8512,128.8102
당곡리(가야방향),35.8513,128.8102
의송리,35.8589,128.7969
부일리경로당 건너,35.7845,128.9244
부일리(용성방향),35.7869,128.9206
부일리종점,35.7869,128.9205
부일리경로당,35.7844,128.9246
인안2리(경산방향),35.865,128.7875
인안복지회관입구(하양방향),35.865,128.7877
송림리(매남방향),35.7988,128.9024
송림리(용성방향),35.7989,128.9024
압량윤성3차A 건너,35.8662,128.7893
압량윤성3차A,35.8663,128.7895
삼일방직(자인방향),35.85858,128.80605
삼일방직(골프장방향),35.85826,128.80625
진성초교,35.8531,128.8159
진성초교 건너,35.8531,128.8161
진량윤성1차A,35.8655,128.7948
진량윤성1차A 건너,35.8655,128.7948
현흥2리(진량방향),35.8726,128.7821
현흥2리(경산방향),35.87247,128.78067
안촌입구,35.8542,128.8184
마곡(마곡방향),35.8402,128.8436
마곡(자인방향),35.8403,128.8435
연지입구(진량방향),35.8734,128.7902
삼성볼파크,35.8664,128.8046
삼성볼파크 건너,35.86562,128.80437
진량황제A,35.8598,128.8175
진량황제A(진량방향),35.8598,128.8178
마곡회관 건너,35.8439,128.8458
마곡회관,35.8439,128.8459
선화2리(진량방향),35.8731,128.7985
동자지(진량방향),35.873,128.7986
황제리,35.8624,128.8185
골프장,35.8708,128.8042
골프장 건너,35.8708,128.8041
대원보건진료소 건너,35.85791,128.82695
대원보건진료소 앞,35.85783,128.82714
마곡리(마라곡마을건너),35.847,128.8466
마곡리(마라곡마을),35.8469,128.84678
진량골프장2,35.8722,128.805
광석리(광석방향),35.8549,128.8391
광석리1(가야방향),35.855,128.8391
