,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,시군구+도로명+면적,시군구+도로명,계약년월일,경도,위도
5048,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,129.0208,202302,11,"153,000",28,2009.0,달구벌대로 2435,20230303.0,중개거래,대구 수성구,대구광역시 수성구 범어동 달구벌대로 2435 129.0208,대구광역시 수성구 범어동 달구벌대로 2435,20230211,128.629407158,35.860479220
5049,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,129.0208,202302,11,"153,000",27,2009.0,달구벌대로 2435,,중개거래,대구 수성구,대구광역시 수성구 범어동 달구벌대로 2435 129.0208,대구광역시 수성구 범어동 달구벌대로 2435,20230211,128.629407158,35.860479220
5050,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,134.8251,202301,14,"155,000",48,2009.0,달구벌대로 2435,,중개거래,대구 수성구,대구광역시 수성구 범어동 달구벌대로 2435 134.8251,대구광역시 수성구 범어동 달구벌대로 2435,20230114,128.629407158,35.860479220
5051,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,137.0619,202304,26,"157,000",31,2009.0,달구벌대로 2435,,중개거래,대구 수성구,대구광역시 수성구 범어동 달구벌대로 2435 137.0619,대구광역시 수성구 범어동 달구벌대로 2435,20230426,128.629407158,35.860479220
5052,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,143.7941,202302,10,"155,000",21,2009.0,달구벌대로 2435,,중개거래,대구 수성구,대구광역시 수성구 범어동 달구벌대로 2435 143.7941,대구광역시 수성구 범어동 달구벌대로 2435,20230210,128.629407158,35.860479220
5053,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,146.9701,202303,31,"165,000",24,2009.0,달구벌대로 2435,,중개거래,대구 수성구,대구광역시 수성구 범어동 달구벌대로 2435 146.9701,대구광역시 수성구 범어동 달구벌대로 2435,20230331,128.629407158,35.860479220
5054,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,170.8551,202301,12,"174,000",5,2009.0,달구벌대로 2435,,중개거래,대구 수성구,대구광역시 수성구 범어동 달구벌대로 2435 170.8551,대구광역시 수성구 범어동 달구벌대로 2435,20230112,128.629407158,35.860479220
5055,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,171.4714,202304,14,"230,000",26,2009.0,달구벌대로 2435,,중개거래,대구 수성구,대구광역시 수성구 범어동 달구벌대로 2435 171.4714,대구광역시 수성구 범어동 달구벌대로 2435,20230414,128.629407158,35.860479220
5056,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,204.0727,202304,1,"235,000",9,2009.0,달구벌대로 2435,,중개거래,대구 수성구,대구광역시 수성구 범어동 달구벌대로 2435 204.0727,대구광역시 수성구 범어동 달구벌대로 2435,20230401,128.629407158,35.860479220
5057,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,226.4659,202303,10,"343,100",52,2009.0,달구벌대로 2435,,직거래,-,대구광역시 수성구 범어동 달구벌대로 2435 226.4659,대구광역시 수성구 범어동 달구벌대로 2435,20230310,128.629407158,35.860479220
