,아파트명,면적,법정동주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,매매호가,전세호가,월세호가,실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
5,대곡역그린빌,108A,대구시 달성군 화원읍 본리리 113-1,대구시 달성군 명천로 57,35.803628,128.51131,1170.0,0.0,15.0,12.0,190,15,1322.0,두산건설(주)외 1건,HT005,108.1,84.62,78,3,2,236,계단식,64050.0,208530.0,12810.0,131670.0,0.0,0.0,0.0,24500.0,318378,196998,"2억 4,000~2억 8,500",,,,대구화동초등학교,공립,133.0,147.0
0,대곡역래미안,111A㎡,대구시 달성군 화원읍 구라리 1650,대구시 달성군 비슬로539길 35,35.811345,128.5068,1451.0,0.0,29.0,18.0,277,14,2190.0,삼성물산(주),HT005,111.97,84.59,76,3,2,484,계단식,92850.0,283410.0,18570.0,171990.0,0.0,0.0,0.0,18500.0,324550,199765,"2억 9,500~3억 5,000",,"2,000/85~2,000/110","2,000/85~2,000/110",대구유천초등학교,공립,455.0,399.0
1,대곡역래미안,111B㎡,대구시 달성군 화원읍 구라리 1650,대구시 달성군 비슬로539길 35,35.811345,128.5068,1451.0,0.0,29.0,18.0,277,14,2190.0,삼성물산(주),HT005,111.54,84.46,76,3,2,286,복합식,92850.0,283410.0,18570.0,171990.0,0.0,0.0,0.0,18500.0,324041,199452,"3억 500~3억 5,000",,"2,000/70~2,000/900","2,000/70~2,000/900",대구유천초등학교,공립,455.0,399.0
2,대곡역래미안,111C㎡,대구시 달성군 화원읍 구라리 1650,대구시 달성군 비슬로539길 35,35.811345,128.5068,1451.0,0.0,29.0,18.0,277,14,2190.0,삼성물산(주),HT005,111.94,84.28,75,3,2,176,계단식,92850.0,283410.0,18570.0,171990.0,0.0,0.0,0.0,18500.0,323361,199033,"3억~3억 3,500",,,,대구유천초등학교,공립,455.0,399.0
3,대곡역래미안,131A㎡,대구시 달성군 화원읍 구라리 1650,대구시 달성군 비슬로539길 35,35.811345,128.5068,1451.0,0.0,29.0,18.0,277,14,2190.0,삼성물산(주),HT005,131.61,101.69,77,3,2,307,계단식,109950.0,327870.0,21990.0,195930.0,0.0,0.0,0.0,22000.0,390142,240138,"3억 7,000~4억 5,000","2억~2억 2,000",,,대구유천초등학교,공립,455.0,399.0
4,대곡역래미안,131B㎡,대구시 달성군 화원읍 구라리 1650,대구시 달성군 비슬로539길 35,35.811345,128.5068,1451.0,0.0,29.0,18.0,277,14,2190.0,삼성물산(주),HT005,131.45,100.75,77,3,2,58,복합식,109950.0,327870.0,21990.0,195930.0,0.0,0.0,0.0,24500.0,386549,237926,"3억 8,000~4억",,,,대구유천초등학교,공립,455.0,399.0
5,대곡역래미안,131C㎡,대구시 달성군 화원읍 구라리 1650,대구시 달성군 비슬로539길 35,35.811345,128.5068,1451.0,0.0,29.0,18.0,277,14,2190.0,삼성물산(주),HT005,131.24,100,76,3,2,24,복합식,109950.0,327870.0,21990.0,195930.0,0.0,0.0,0.0,24500.0,383652,236143,4억,,,,대구유천초등학교,공립,455.0,399.0
6,대곡역래미안,160A㎡,대구시 달성군 화원읍 구라리 1650,대구시 달성군 비슬로539길 35,35.811345,128.5068,1451.0,0.0,29.0,18.0,277,14,2190.0,삼성물산(주),HT005,160.28,127.67,80,4,2,40,복합식,154800.0,420120.0,30960.0,234360.0,0.0,0.0,0.0,,489837,301501,"5억 3,000~6억 2,000","4억 2,000",,,대구유천초등학교,공립,455.0,399.0
7,대곡역래미안,161B㎡,대구시 달성군 화원읍 구라리 1650,대구시 달성군 비슬로539길 35,35.811345,128.5068,1451.0,0.0,29.0,18.0,277,14,2190.0,삼성물산(주),HT005,161.2,128.06,79,4,2,24,복합식,154800.0,420120.0,30960.0,234360.0,0.0,0.0,0.0,,491310,302408,"5억 5,000~5억 9,000",,,,대구유천초등학교,공립,455.0,399.0
8,대곡역래미안,164,대구시 달성군 화원읍 구라리 1650,대구시 달성군 비슬로539길 35,35.811345,128.5068,1451.0,0.0,29.0,18.0,277,14,2190.0,삼성물산(주),HT005,164.02,130.78,80,4,2,52,복합식,157500.0,425250.0,31500.0,236250.0,0.0,0.0,0.0,,501769,308846,"5억 4,000~5억 8,000",,,,대구유천초등학교,공립,455.0,399.0
0,대곡역신동아파밀리에,110B㎡,대구시 달성군 화원읍 구라리 1722,대구시 달성군 비슬로539길 38,35.811118,128.509189,425.0,0.0,24.0,16.0,278,30,553.0,신동아건설 주식회사,HT001,110.84,84.98,77,3,2,92,계단식,79800.0,249480.0,15960.0,153720.0,0.0,0.0,0.0,18500.0,191061,195637,"2억 8,500~3억",,,,대구유천초등학교,공립,455.0,399.0
1,대곡역신동아파밀리에,110A㎡,대구시 달성군 화원읍 구라리 1722,대구시 달성군 비슬로539길 38,35.811118,128.509189,425.0,0.0,24.0,16.0,278,30,553.0,신동아건설 주식회사,HT001,110.63,84.98,77,3,2,90,계단식,84750.0,262350.0,16950.0,160650.0,0.0,0.0,0.0,18500.0,191061,195637,"2억 7,500~2억 8,000",,"2,000/75","2,000/75",대구유천초등학교,공립,455.0,399.0
2,대곡역신동아파밀리에,111C㎡,대구시 달성군 화원읍 구라리 1722,대구시 달성군 비슬로539길 38,35.811118,128.509189,425.0,0.0,24.0,16.0,278,30,553.0,신동아건설 주식회사,HT001,111.05,84.98,77,3,2,84,계단식,84750.0,262350.0,16950.0,160650.0,0.0,0.0,0.0,18500.0,191061,195637,"2억 8,500",,,,대구유천초등학교,공립,455.0,399.0
3,대곡역신동아파밀리에,111D㎡,대구시 달성군 화원읍 구라리 1722,대구시 달성군 비슬로539길 38,35.811118,128.509189,425.0,0.0,24.0,16.0,278,30,553.0,신동아건설 주식회사,HT001,111.13,84.98,76,3,2,38,계단식,84750.0,262350.0,16950.0,160650.0,0.0,0.0,0.0,22000.0,191061,195637,,,,,대구유천초등학교,공립,455.0,399.0
4,대곡역신동아파밀리에,112E㎡,대구시 달성군 화원읍 구라리 1722,대구시 달성군 비슬로539길 38,35.811118,128.509189,425.0,0.0,24.0,16.0,278,30,553.0,신동아건설 주식회사,HT001,112.03,84.98,76,3,2,31,계단식,79800.0,249480.0,15960.0,153720.0,0.0,0.0,0.0,24500.0,191061,195637,"3억 1,000",,,,대구유천초등학교,공립,455.0,399.0
5,대곡역신동아파밀리에,142,대구시 달성군 화원읍 구라리 1722,대구시 달성군 비슬로539길 38,35.811118,128.509189,425.0,0.0,24.0,16.0,278,30,553.0,신동아건설 주식회사,HT001,142.32,115.65,81,4,2,90,계단식,127800.0,368820.0,25560.0,215460.0,0.0,0.0,0.0,24500.0,260012,266240,"3억 9,000~4억","2억 6,000~2억 8,000","2,000/120~2,000/1200","2,000/120~2,000/1200",대구유천초등학교,공립,455.0,399.0
0,동서동산,87㎡,대구시 달성군 화원읍 천내리 42-1,대구시 달성군 비슬로525길 21,35.80698,128.50189,260.0,0.0,5.0,5.0,0,0,260.0,동산건설,HT001,87.31,69.77,80,3,1,150,계단식,52350.0,178110.0,10470.0,115290.0,0.0,0.0,0.0,18500.0,,,"2억 500~2억 3,500",,"500/40~1,000/55","500/40~1,000/55",대구천내초등학교,공립,96.0,82.0
1,동서동산,104,대구시 달성군 화원읍 천내리 42-1,대구시 달성군 비슬로525길 21,35.80698,128.50189,260.0,0.0,5.0,5.0,0,0,260.0,동산건설,HT001,104.11,83.9,81,3,1,110,계단식,74400.0,235440.0,14880.0,146160.0,0.0,0.0,0.0,18500.0,,,"2억 5,000~3억 2,500","1억 1,000~1억 5,000","1,000/50","1,000/50",대구천내초등학교,공립,96.0,82.0
0,명곡미래빌1단지,107,대구시 달성군 화원읍 명곡리 112,대구시 달성군 명곡로 11,35.799132,128.498026,976.0,0.0,20.0,15.0,233,19,1003.0,"화성산업(주),삼주건설(주)",HT005,107.95,84.34,78,3,2,976,계단식,57300.0,190980.0,11460.0,122220.0,0.0,0.0,0.0,18500.0,298017,180694,"2억~3억 3,000","1억 4,500~2억 2,000","1,000/65","1,000/65",대구화남초등학교,공립,244.0,204.0
0,명곡미래빌3단지,68㎡,대구시 달성군 화원읍 명곡리 130,대구시 달성군 명곡로 30,35.796693,128.495068,716.0,0.0,20.0,18.0,222,17,727.0,(주)우방,HT005,68.6,49.57,72,2,1,72,복도식,28125.0,112500.0,5625.0,78750.0,0.0,0.0,0.0,18500.0,200448,124403,"1억 6,000~1억 7,000",,,,대구명곡초등학교,공립,112.0,116.0
